Outlet_ID,weekly_sale_for_1,weekly_sale_for_2,weekly_sale_for_3,weekly_sale_for_4,weekly_sale_for_5,weekly_sale_for_6,weekly_sale_for_7,weekly_sale_for_8,weekly_sale_for_9,weekly_sale_for_10,weekly_sale_for_11,weekly_sale_for_12,weekly_sold_volume_for_1,weekly_sold_volume_for_2,weekly_sold_volume_for_3,weekly_sold_volume_for_4,weekly_sold_volume_for_5,weekly_sold_volume_for_6,weekly_sold_volume_for_7,weekly_sold_volume_for_8,weekly_sold_volume_for_9,weekly_sold_volume_for_10,weekly_sold_volume_for_11,weekly_sold_volume_for_12,weekly_earning_for_1,weekly_earning_for_2,weekly_earning_for_3,weekly_earning_for_4,weekly_earning_for_5,weekly_earning_for_6,weekly_earning_for_7,weekly_earning_for_8,weekly_earning_for_9,weekly_earning_for_10,weekly_earning_for_11,weekly_earning_for_12,Butter Pecan Small Stick_units_sold,Chocolate Petite Bar_units_sold,Mint Bite-size Pop_units_sold,Strawberry Tiny Cup_units_sold,Vanilla Mini Cone_units_sold,Chocolate Fudge Big Scoop_units_sold,Cookies and Cream Mega Tub_units_sold,Mint Chocolate Chip Family Pack_units_sold,Moose Tracks Jumbo Cup_units_sold,Rocky Road Mega Tub_units_sold,Butter Pecan Small Stick_volume_sold,Chocolate Petite Bar_volume_sold,Mint Bite-size Pop_volume_sold,Strawberry Tiny Cup_volume_sold,Vanilla Mini Cone_volume_sold,Chocolate Fudge Big Scoop_volume_sold,Cookies and Cream Mega Tub_volume_sold,Mint Chocolate Chip Family Pack_volume_sold,Moose Tracks Jumbo Cup_volume_sold,Rocky Road Mega Tub_volume_sold,Butter Pecan Small Stick_earning,Chocolate Petite Bar_earning,Mint Bite-size Pop_earning,Strawberry Tiny Cup_earning,Vanilla Mini Cone_earning,Chocolate Fudge Big Scoop_earning,Cookies and Cream Mega Tub_earning,Mint Chocolate Chip Family Pack_earning,Moose Tracks Jumbo Cup_earning,Rocky Road Mega Tub_earning,labels
ID7203,3389.0,2402.0,2805.0,2583.0,2802.0,3227.0,2992.0,3138.0,2309.0,2484.0,4382.0,2233.0,677.8000000000001,480.40000000000003,561.0,516.6,560.4,645.4000000000001,598.4000000000001,627.6000000000001,461.8,496.8,876.4000000000001,446.6,349830.0,248610.0,275200.0,259650.0,271830.0,327390.0,301010.0,320700.0,227830.0,241650.0,437660.0,231560.0,6443.0,7295.0,5520.0,9127.0,6361.0,0.0,0.0,0.0,0.0,0.0,1288.6000000000001,1459.0,1104.0,1825.4,1272.2,0.0,0.0,0.0,0.0,0.0,644300.0,656550.0,552000.0,1003970.0,636100.0,0.0,0.0,0.0,0.0,0.0,2
ID1878,2597.0,2048.0,2809.0,3724.0,3213.0,3313.0,2883.0,3501.0,3312.0,3961.0,2210.0,2469.0,519.4000000000001,409.6,561.8000000000001,744.8000000000001,642.6,662.6,576.6,700.2,662.4,792.2,442.0,493.8,258390.0,210660.0,282580.0,379070.0,322280.0,330430.0,277250.0,350880.0,330170.0,401670.0,225080.0,237880.0,6748.0,6622.0,7954.0,6856.0,7860.0,0.0,0.0,0.0,0.0,0.0,1349.6000000000001,1324.4,1590.8000000000002,1371.2,1572.0000000000002,0.0,0.0,0.0,0.0,0.0,674800.0,595980.0,795400.0,754160.0,786000.0,0.0,0.0,0.0,0.0,0.0,2
ID1740,3742.0,3208.0,3702.0,3060.0,3822.0,3190.0,2138.0,2812.0,2072.0,3081.0,3693.0,3067.0,748.4000000000001,641.6,740.4000000000001,612.0,764.4,638.0,427.6,562.4,414.40000000000003,616.2,738.6,613.4000000000001,371360.0,321870.0,369650.0,300560.0,385470.0,316730.0,215310.0,277610.0,211340.0,312190.0,370450.0,303370.0,6817.0,8116.0,7192.0,7837.0,7625.0,0.0,0.0,0.0,0.0,0.0,1363.4,1623.2,1438.4,1567.4,1525.0,0.0,0.0,0.0,0.0,0.0,681700.0,730440.0,719200.0,862070.0,762500.0,0.0,0.0,0.0,0.0,0.0,2
ID4366,3410.0,3072.0,3843.0,4036.0,2328.0,2454.0,3181.0,3025.0,3975.0,4975.0,2426.0,3579.0,682.0,614.4000000000001,768.6,807.2,465.6,490.80000000000007,636.2,605.0,795.0,995.0,485.20000000000005,715.8000000000001,349180.0,310920.0,383500.0,404840.0,224220.0,254280.0,321540.0,300490.0,408690.0,497280.0,243100.0,362090.0,9524.0,6259.0,8759.0,9232.0,6530.0,0.0,0.0,0.0,0.0,0.0,1904.8000000000002,1251.8000000000002,1751.8000000000002,1846.4,1306.0,0.0,0.0,0.0,0.0,0.0,952400.0,563310.0,875900.0,1015520.0,653000.0,0.0,0.0,0.0,0.0,0.0,2
ID8358,2891.0,4185.0,3433.0,4552.0,1080.0,3598.0,3164.0,3497.0,3738.0,2831.0,2338.0,4071.0,578.2,837.0,686.6,910.4000000000001,216.00000000000003,719.6,632.8000000000001,699.4000000000001,747.6,566.2,467.6,814.2,286650.0,422100.0,340710.0,454070.0,101010.0,354670.0,309570.0,347220.0,383510.0,282780.0,233040.0,403370.0,8866.0,9562.0,6241.0,7652.0,7057.0,0.0,0.0,0.0,0.0,0.0,1773.2,1912.4,1248.2,1530.4,1411.4,0.0,0.0,0.0,0.0,0.0,886600.0,860580.0,624100.0,841720.0,705700.0,0.0,0.0,0.0,0.0,0.0,2
ID4722,3651.0,4492.0,2522.0,4490.0,4616.0,3669.0,3283.0,2567.0,2984.0,3000.0,3206.0,3183.0,730.2,898.4000000000001,504.4,898.0,923.2,733.8000000000001,656.6,513.4000000000001,596.8000000000001,600.0,641.2,636.6,366160.0,453210.0,247690.0,451360.0,456520.0,372850.0,337410.0,251460.0,309570.0,291980.0,318860.0,310660.0,8824.0,8264.0,9065.0,8407.0,7103.0,0.0,0.0,0.0,0.0,0.0,1764.8000000000002,1652.8000000000002,1813.0,1681.4,1420.6000000000001,0.0,0.0,0.0,0.0,0.0,882400.0,743760.0,906500.0,924770.0,710300.0,0.0,0.0,0.0,0.0,0.0,2
ID5579,2456.0,3014.0,2736.0,2461.0,2530.0,2337.0,1938.0,3708.0,2473.0,2746.0,3946.0,1811.0,491.20000000000005,602.8000000000001,547.2,492.20000000000005,506.0,467.40000000000003,387.6,741.6,494.6,549.2,789.2,362.20000000000005,240880.0,312310.0,268390.0,253870.0,254580.0,231940.0,193800.0,377000.0,246390.0,278100.0,392100.0,183540.0,6772.0,4853.0,6577.0,6583.0,7371.0,0.0,0.0,0.0,0.0,0.0,1354.4,970.6,1315.4,1316.6000000000001,1474.2,0.0,0.0,0.0,0.0,0.0,677200.0,436770.0,657700.0,724130.0,737100.0,0.0,0.0,0.0,0.0,0.0,2
ID3876,2609.0,2730.0,1440.0,1997.0,4352.0,3305.0,2812.0,2180.0,4174.0,3540.0,2716.0,4017.0,521.8,546.0,288.0,399.4,870.4000000000001,661.0,562.4000000000001,436.0,834.8000000000001,708.0,543.2,803.4000000000001,269290.0,271230.0,140640.0,203790.0,435600.0,333320.0,284620.0,219030.0,423070.0,353780.0,281350.0,410960.0,6968.0,6079.0,6223.0,10027.0,6575.0,0.0,0.0,0.0,0.0,0.0,1393.6000000000001,1215.8,1244.6000000000001,2005.4,1315.0,0.0,0.0,0.0,0.0,0.0,696800.0,547110.0,622300.0,1102970.0,657500.0,0.0,0.0,0.0,0.0,0.0,2
ID7275,2595.0,2606.0,3363.0,2674.0,3077.0,1828.0,2453.0,2328.0,2715.0,2908.0,2795.0,4430.0,519.0,521.2,672.6,534.8000000000001,615.4000000000001,365.6,490.6,465.6,543.0,581.6,559.0,886.0,253820.0,257960.0,330790.0,262790.0,305560.0,186690.0,253350.0,225450.0,274870.0,291470.0,288020.0,445260.0,4641.0,8197.0,6813.0,8080.0,6041.0,0.0,0.0,0.0,0.0,0.0,928.2,1639.4,1362.6000000000001,1616.0,1208.2,0.0,0.0,0.0,0.0,0.0,464100.0,737730.0,681300.0,888800.0,604100.0,0.0,0.0,0.0,0.0,0.0,2
ID3726,2346.0,3339.0,3623.0,1872.0,3353.0,3232.0,1731.0,3659.0,2592.0,3716.0,3484.0,952.0,469.20000000000005,667.8000000000001,724.6,374.40000000000003,670.6,646.4000000000001,346.20000000000005,731.8000000000001,518.4000000000001,743.2,696.8000000000001,190.40000000000003,225560.0,334130.0,359400.0,188230.0,332440.0,327630.0,168910.0,371870.0,258160.0,373820.0,343560.0,86990.0,6471.0,8295.0,4733.0,6375.0,8025.0,0.0,0.0,0.0,0.0,0.0,1294.2,1659.0,946.6000000000001,1275.0,1605.0,0.0,0.0,0.0,0.0,0.0,647100.0,746550.0,473300.0,701250.0,802500.0,0.0,0.0,0.0,0.0,0.0,2
