Outlet_ID,area(sqft),revenue_totals,volume_totals,units_totals,revenue_IP1,revenue_IP2,revenue_IP3,revenue_IP4,revenue_IP5,revenue_BP1,revenue_BP2,revenue_BP3,revenue_BP4,revenue_BP5,volume_IP1,volume_IP2,volume_IP3,volume_IP4,volume_IP5,volume_BP1,volume_BP2,volume_BP3,volume_BP4,volume_BP5,units_IP1,units_IP2,units_IP3,units_IP4,units_IP5,units_BP1,units_BP2,units_BP3,units_BP4,units_BP5,revenue_month1,revenue_month2,revenue_month3,volume_month1,volume_month2,volume_month3,volume_week7
ID7203,5660,3492920.0,6949.200000000001,34746.0,636100.0,656550.0,1003970.0,552000.0,644300.0,0.0,0.0,0.0,0.0,0.0,1272.2,1459.0,1825.4,1104.0,1288.6000000000001,0.0,0.0,0.0,0.0,0.0,6361.0,7295.0,9127.0,5520.0,6443.0,0.0,0.0,0.0,0.0,0.0,1133290.0,1220930.0,1138700.0,2235.8,2431.8,2281.6000000000004,598.4000000000001
ID1878,4138,3606340.0,7208.0,36040.0,786000.0,595980.0,754160.0,795400.0,674800.0,0.0,0.0,0.0,0.0,0.0,1572.0000000000002,1324.4,1371.2,1590.8000000000002,1349.6000000000001,0.0,0.0,0.0,0.0,0.0,7860.0,6622.0,6856.0,7954.0,6748.0,0.0,0.0,0.0,0.0,0.0,1130700.0,1280840.0,1194800.0,2235.6000000000004,2582.0,2390.4,576.6
ID1740,5546,3755910.0,7517.400000000001,37587.0,762500.0,730440.0,862070.0,719200.0,681700.0,0.0,0.0,0.0,0.0,0.0,1525.0,1623.2,1567.4,1438.4,1363.4,0.0,0.0,0.0,0.0,0.0,7625.0,8116.0,7837.0,7192.0,6817.0,0.0,0.0,0.0,0.0,0.0,1363440.0,1195120.0,1197350.0,2742.4,2392.4,2382.6000000000004,427.6
ID4366,5134,4060130.0,8060.8,40304.0,653000.0,563310.0,1015520.0,875900.0,952400.0,0.0,0.0,0.0,0.0,0.0,1306.0,1251.8000000000002,1846.4,1751.8000000000002,1904.8000000000002,0.0,0.0,0.0,0.0,0.0,6530.0,6259.0,9232.0,8759.0,9524.0,0.0,0.0,0.0,0.0,0.0,1448440.0,1100530.0,1511160.0,2872.2000000000003,2197.6000000000004,2991.0,636.2
ID8358,4100,3918700.0,7875.6,39378.0,705700.0,860580.0,841720.0,624100.0,886600.0,0.0,0.0,0.0,0.0,0.0,1411.4,1912.4,1530.4,1248.2,1773.2,0.0,0.0,0.0,0.0,0.0,7057.0,9562.0,7652.0,6241.0,8866.0,0.0,0.0,0.0,0.0,0.0,1503530.0,1112470.0,1302700.0,3012.2000000000003,2267.8,2595.6000000000004,632.8000000000001
ID4722,5593,4167730.0,8332.6,41663.0,710300.0,743760.0,924770.0,906500.0,882400.0,0.0,0.0,0.0,0.0,0.0,1420.6000000000001,1652.8000000000002,1681.4,1813.0,1764.8000000000002,0.0,0.0,0.0,0.0,0.0,7103.0,8264.0,8407.0,9065.0,8824.0,0.0,0.0,0.0,0.0,0.0,1518420.0,1418240.0,1231070.0,3031.0,2827.0,2474.6000000000004,656.6
ID5579,4184,3232900.0,6431.200000000001,32156.0,737100.0,436770.0,724130.0,657700.0,677200.0,0.0,0.0,0.0,0.0,0.0,1474.2,970.6,1316.6000000000001,1315.4,1354.4,0.0,0.0,0.0,0.0,0.0,7371.0,4853.0,6583.0,6577.0,6772.0,0.0,0.0,0.0,0.0,0.0,1075450.0,1057320.0,1100130.0,2133.4,2102.6,2195.2000000000003,387.6
ID3876,4063,3626680.0,7174.400000000001,35872.0,657500.0,547110.0,1102970.0,622300.0,696800.0,0.0,0.0,0.0,0.0,0.0,1315.0,1215.8,2005.4,1244.6000000000001,1393.6000000000001,0.0,0.0,0.0,0.0,0.0,6575.0,6079.0,10027.0,6223.0,6968.0,0.0,0.0,0.0,0.0,0.0,884950.0,1272570.0,1469160.0,1755.2,2529.8,2889.4,562.4000000000001
ID7275,3162,3376030.0,6754.400000000001,33772.0,604100.0,737730.0,888800.0,681300.0,464100.0,0.0,0.0,0.0,0.0,0.0,1208.2,1639.4,1616.0,1362.6000000000001,928.2,0.0,0.0,0.0,0.0,0.0,6041.0,8197.0,8080.0,6813.0,4641.0,0.0,0.0,0.0,0.0,0.0,1105360.0,971050.0,1299620.0,2247.6000000000004,1937.2,2569.6,490.6
ID3726,5537,3370700.0,6779.8,33899.0,802500.0,746550.0,701250.0,473300.0,647100.0,0.0,0.0,0.0,0.0,0.0,1605.0,1659.0,1275.0,946.6000000000001,1294.2,0.0,0.0,0.0,0.0,0.0,8025.0,8295.0,6375.0,4733.0,6471.0,0.0,0.0,0.0,0.0,0.0,1107320.0,1200850.0,1062530.0,2236.0,2395.0,2148.8,346.20000000000005
